job_id,title,company,city,lat,lon,sector,required_skills,min_experience_years,salary_range_tnd
J033,CRM Analyst,Orange Tunisia,Tunis,36.8065,10.1815,Marketing,Salesforce;SQL;CRM;Customer Segmentation;Excel;Data Analysis,2,2200-3200
J034,Performance Marketing Analyst,Orange Tunisia,Tunis,36.8065,10.1815,Marketing,Google Analytics;Meta Ads;A/B Testing;Excel;SEO;SEM,2,2000-3000
J035,Product Manager - Digital,Orange Tunisia,Tunis,36.8065,10.1815,Marketing,Product Roadmap;Agile;User Research;Analytics;Wireframing;Stakeholder Management,4,3500-5000
J036,Content Strategy Specialist,Ooredoo,Tunis,36.8065,10.1815,Marketing,Content Marketing;SEO;Copywriting;Social Media;Analytics;Adobe Premiere,2,1800-2800
J037,Customer Experience Analyst,Ooredoo,Tunis,36.8065,10.1815,Marketing,CRM;NPS;Data Analysis;Excel;Customer Journey Mapping;SQL,2,2000-3000
J038,Digital Transformation Lead,Ooredoo,Tunis,36.8065,10.1815,Marketing,Digital Strategy;Change Management;Agile;Stakeholder Management;KPIs;Innovation,5,4500-6500
J039,Market Research Analyst,Ooredoo,Sousse,35.8245,10.6346,Marketing,Market Research;SPSS;Excel;Survey Design;Reporting;Statistics,1,1800-2500
J040,Social Media Manager,Ooredoo,Tunis,36.8065,10.1815,Marketing,Social Media Strategy;Content Creation;Analytics;Community Management;Canva;Copywriting,2,2000-3000
J041,Risk Analyst,Banque Zitouna,Tunis,36.8065,10.1815,Finance,Risk Management;Basel III;Excel;SQL;Financial Modeling;VBA,2,2500-3500
J042,Financial Analyst,Banque Zitouna,Tunis,36.8065,10.1815,Finance,Financial Modeling;Excel;Bloomberg;Accounting;IFRS;PowerPoint,2,2200-3200
J043,Credit Analyst,Banque Zitouna,Sfax,34.7406,10.7603,Finance,Credit Scoring;Financial Statements;Excel;Risk Assessment;Banking Regulations;SQL,2,2200-3200
J044,Compliance Officer,Banque Zitouna,Tunis,36.8065,10.1815,Finance,AML;KYC;Banking Regulations;Risk Management;Reporting;Audit,3,3000-4200
J045,Islamic Finance Specialist,Banque Zitouna,Tunis,36.8065,10.1815,Finance,Islamic Finance;Sukuk;Financial Products;Sharia Compliance;Excel;Reporting,3,3000-4500
J046,Treasury Analyst,Banque Zitouna,Tunis,36.8065,10.1815,Finance,Cash Flow Management;Excel;Financial Markets;Bloomberg;FX;Risk Management,2,2500-3500
J047,Internal Auditor,Banque Zitouna,Monastir,35.7643,10.8113,Finance,Auditing;IFRS;Risk Assessment;Excel;Reporting;Banking Regulations,3,2800-4000
J048,Electrical Engineer,STEG,Tunis,36.8065,10.1815,Civil Engineering,Power Systems;AutoCAD;Electrical Design;MATLAB;Project Management;HV/MV Networks,2,2200-3200
J049,Civil Engineer - Infrastructure,STEG,Tunis,36.8065,10.1815,Civil Engineering,AutoCAD;Civil 3D;Project Management;Structural Analysis;Revit;Site Supervision,2,2200-3200
J050,Renewable Energy Engineer,STEG,Tunis,36.8065,10.1815,Civil Engineering,Solar PV;Wind Energy;Energy Auditing;HOMER;Python;AutoCAD,3,2800-4000
J051,Power Grid Analyst,STEG,Sfax,34.7406,10.7603,Civil Engineering,Power Systems;SCADA;Load Flow Analysis;PSS/E;Electrical Engineering;GIS,3,2800-4000
J052,GIS Analyst - Energy Networks,STEG,Tunis,36.8065,10.1815,Geomatics,GIS;ArcGIS;PostGIS;Network Analysis;Electrical Networks;Python,2,2300-3300
J053,Environmental Engineer,STEG,Bizerte,37.2744,9.8739,Civil Engineering,Environmental Impact Assessment;GIS;AutoCAD;Environmental Regulations;Reporting;Field Work,2,2200-3200
J054,Hydraulics Engineer,STEG,Sousse,35.8245,10.6346,Civil Engineering,HEC-RAS;AutoCAD;Hydraulic Modeling;GIS;Water Resources;Field Survey,2,2200-3200
J055,Agronomist - Crop Production,Poulina Group,Tunis,36.8065,10.1815,Agronomy,Agronomy;Crop Management;Soil Science;GIS;Irrigation;Reporting,2,2000-3000
J056,Veterinary Officer,Poulina Group,Sfax,34.7406,10.7603,Agronomy,Veterinary Science;Animal Health;Biosecurity;Disease Control;Reporting;Farm Management,3,2500-3500
J057,Food Quality Engineer,Poulina Group,Tunis,36.8065,10.1815,Agronomy,Food Safety;HACCP;ISO 22000;Quality Control;Laboratory Skills;Reporting,2,2200-3200
J058,Supply Chain Analyst,Poulina Group,Tunis,36.8065,10.1815,Finance,Supply Chain Management;SAP;Excel;Logistics;Inventory Management;SQL,2,2200-3200
J059,Precision Agriculture Specialist,Poulina Group,Monastir,35.7643,10.8113,Agronomy,Precision Agriculture;GIS;Remote Sensing;Drones;Soil Sensors;Python,2,2500-3500
J060,Agricultural Data Analyst,Poulina Group,Tunis,36.8065,10.1815,Data Science,Python;R;GIS;Remote Sensing;Agricultural Modeling;Statistics,2,2300-3300
J061,Remote Sensing Analyst,Sofrecom,Tunis,36.8065,10.1815,Geomatics,Remote Sensing;ENVI;SNAP;Google Earth Engine;Python;Satellite Imagery,2,2500-3500
J062,Cartographer,STEG,Tunis,36.8065,10.1815,Geomatics,Cartography;QGIS;ArcGIS;Map Design;PostGIS;Data Collection,2,2000-3000
J063,Spatial Data Engineer,Talan,Tunis,36.8065,10.1815,Geomatics,PostGIS;Python;GeoServer;QGIS;REST APIs;SQL,3,2800-4000
J064,UAV/Drone Operator & Analyst,Poulina Group,Sfax,34.7406,10.7603,Geomatics,Drone Operation;Photogrammetry;Pix4D;AgiSoft;GIS;Field Survey,1,2200-3200
J065,Surveying Engineer,STEG,Bizerte,37.2744,9.8739,Geomatics,Total Station;GPS/GNSS;AutoCAD;Topographic Survey;Leica;Field Work,2,2200-3200
J066,Web GIS Developer,Sofrecom,Tunis,36.8065,10.1815,Geomatics,Leaflet.js;OpenLayers;GeoServer;PostGIS;React;Python,3,2800-4000
J067,Structural Engineer,STEG,Bizerte,37.2744,9.8739,Civil Engineering,SAP2000;ETABS;AutoCAD;Structural Analysis;Revit;Site Supervision,2,2300-3300
J068,Urban Planner,Sofrecom,Tunis,36.8065,10.1815,Geomatics,Urban Planning;GIS;AutoCAD;Land Use Planning;Community Engagement;Reporting,3,2500-3500
J069,NLP Engineer,Talan,Tunis,36.8065,10.1815,Data Science,Python;HuggingFace;Transformers;NLP;FastAPI;Docker,2,3000-4500
J070,Computer Vision Engineer,Vermeg,Tunis,36.8065,10.1815,Data Science,Python;OpenCV;PyTorch;YOLO;Image Processing;Deep Learning,2,3000-4500
J071,Soil Scientist,Poulina Group,Sousse,35.8245,10.6346,Agronomy,Soil Analysis;GIS;Laboratory Skills;Remote Sensing;Field Sampling;Reporting,2,2000-3000
J072,Financial Controller,Poulina Group,Tunis,36.8065,10.1815,Finance,Financial Reporting;IFRS;Excel;SAP;Budgeting;Consolidation,4,3500-5000
J073,IT Security Engineer,Orange Tunisia,Tunis,36.8065,10.1815,Software Engineering,Network Security;SIEM;ISO 27001;Firewall;Python;Incident Response,3,3000-4500
J074,Backend Developer - Python,Talan,Tunis,36.8065,10.1815,Software Engineering,Python;FastAPI;Django;PostgreSQL;Docker;Redis,2,2500-3800
J075,iOS Developer,Orange Tunisia,Tunis,36.8065,10.1815,Software Engineering,Swift;Xcode;iOS SDK;REST APIs;Git;Firebase,2,2500-3500
J076,SAP Consultant - Finance,Poulina Group,Tunis,36.8065,10.1815,Finance,SAP FI/CO;Financial Accounting;ERP;SQL;IFRS;Business Analysis,4,4000-5500
J077,Irrigation Engineer,Poulina Group,Monastir,35.7643,10.8113,Agronomy,Irrigation Systems;Hydraulics;AutoCAD;GIS;Water Management;Field Work,2,2200-3200
J078,Geotechnical Engineer,STEG,Sfax,34.7406,10.7603,Civil Engineering,Soil Mechanics;Plaxis;AutoCAD;Geotechnical Investigation;Foundation Design;Reporting,3,2500-3500
J079,Telecom Data Analyst,Ooredoo,Tunis,36.8065,10.1815,Data Science,Python;SQL;Tableau;Telecom KPIs;Statistics;Excel,2,2200-3200
J080,Investment Analyst,Banque Zitouna,Tunis,36.8065,10.1815,Finance,Financial Modeling;Excel;Valuation;Bloomberg;Private Equity;Reporting,3,3000-4500
